OTU_ID	FS1-1	FS1-2	FS1-3	FS1-4	FS2-1	FS2-2	FS2-3	FS2-4	SC1	SC2	SC3	SC4	SC5	TMW1	TMW2	TMW3	TMW4	SGR1	SGR2	SGR3	TL1	TL2	TL3	TL4	TL5	TL6	TL7	TL8	TLSed1	TLSed2	TLSed3	TLSed4	TLSed5	TLSed6	TLSed7	TLSed8	UGS1	UGS2	UGS3	UGW1	UGW2	UGW3
ASV31	0	0	0	0	0	0	0	0	3761	200	3003	65	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	28	10	0	0	0
ASV32	0	143	0	0	882	282	78	135	1248	2069	371	261	1133	239	160	53	112	65	138	216	81	72	50	35	51	91	123	163	143	122	0	0	0	0	53	176	254	0	203	26	0	0
ASV33	0	0	0	0	38	32	0	0	0	22	0	0	15	0	0	41	0	110	66	33	25	0	0	0	0	14	55	15	0	22	0	0	0	0	0	0	5412	2486	1146	0	52	20
ASV34	0	113	0	0	178	66	63	57	100	0	172	99	0	0	0	170	177	187	154	203	1002	583	74	1245	528	472	118	2170	0	0	0	0	0	0	0	0	0	0	0	84	187	218
ASV35	0	0	0	0	101	24	10	21	1479	718	2303	1907	916	29	15	32	45	0	29	62	21	31	27	21	7	14	24	26	34	4	0	0	0	0	141	47	61	102	14	51	57	74
ASV36	21	16	23	14	17	21	69	31	11	7	14	11	11	23	21	22	23	62	0	19	0	31	0	0	0	0	0	0	1124	1478	1268	289	528	1921	319	97	0	0	0	544	198	46
ASV37	0	0	0	0	0	0	0	0	79	43	56	75	51	30	0	33	34	0	50	64	0	0	0	0	0	0	32	12	423	500	270	411	165	37	119	742	756	2799	1023	24	27	33
ASV38	11	14	23	25	15	18	21	33	17	6	22	22	12	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1005	1489	1368	275	463	1683	348	91	0	0	0	484	162	26
ASV39	11	16	0	0	70	56	69	73	12	21	18	24	27	23	19	42	49	138	52	45	134	66	45	56	33	30	226	33	55	159	42	187	104	55	356	86	3384	1326	407	19	0	37
ASV40	364	140	34	64	55	41	161	16	0	0	0	0	0	51	0	66	247	769	380	492	152	43	278	70	1029	114	72	20	18	19	10	0	17	20	0	17	0	0	0	827	263	638
ASV41	11	18	12	0	15	12	9	11	0	0	0	0	0	0	16	15	9	1	10	0	0	0	5	0	6	0	10	6	140	729	1182	1137	647	306	2169	408	49	185	315	20	20	13
ASV42	0	21	2	0	31	6	12	12	75	56	161	58	52	163	63	91	130	51	130	193	383	304	53	307	108	260	59	581	59	67	17	9	8	0	42	307	251	506	882	44	70	158
ASV43	13	273	4	13	285	123	54	50	457	598	599	643	495	222	165	233	105	23	23	15	45	52	57	23	21	22	47	32	70	0	28	56	17	0	59	0	183	134	136	110	266	204
ASV44	0	18	4	12	19	17	20	13	8	10	0	0	8	16	0	16	13	0	17	31	20	41	0	26	9	15	28	35	195	386	208	228	51	71	879	698	512	1127	1050	11	0	15
ASV45	42	73	228	176	83	129	57	336	0	0	0	0	0	62	35	126	295	34	662	208	54	614	283	144	229	209	67	71	0	0	0	0	0	0	0	0	0	0	0	283	422	395
ASV46	30	5	17	5	41	27	21	24	0	0	8	0	0	58	352	90	198	112	196	127	59	149	814	790	81	81	1226	127	10	8	4	9	14	7	0	0	0	0	0	56	98	76
ASV47	79	134	154	147	124	68	121	91	0	0	0	0	0	57	35	139	108	157	41	150	376	143	155	286	1259	39	169	141	29	24	23	39	28	17	14	30	0	0	0	236	176	190
ASV48	0	0	0	0	22	0	0	32	0	8	0	0	3311	27	5	91	421	121	61	38	0	16	0	30	24	98	115	56	0	0	0	0	0	0	0	0	22	231	86	13	18	41
ASV49	32	0	0	293	174	116	0	534	0	0	0	0	0	0	0	0	0	83	0	0	28	0	113	260	27	51	74	68	0	11	0	22	0	0	0	0	0	0	0	926	1431	720
ASV50	3	12	9	0	9	10	14	17	7	0	12	15	11	6	9	14	0	0	0	0	0	0	0	0	0	0	0	0	714	730	769	146	309	1250	197	64	0	0	0	398	65	16
ASV51	0	38	0	0	387	364	37	98	100	354	194	65	165	654	503	28	146	99	34	91	37	22	12	0	12	47	144	160	33	0	0	0	0	0	53	64	185	44	168	19	25	21
ASV52	0	0	0	0	0	0	0	14	0	0	0	0	0	12	35	17	0	63	8	21	14	43	95	20	19	18	123	76	0	55	0	0	0	0	13	46	1097	841	1480	0	23	0
ASV53	0	0	0	0	0	0	0	0	21	9	18	4596	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV54	0	0	0	0	0	0	0	0	826	292	917	1278	442	59	20	20	21	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	250	73	250	6	7	14
ASV55	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	37	0	28	0	0	0	36	0	192	54	91	124	37	39	77	109	711	514	1666	0	0	0
ASV56	82	75	40	18	10	0	0	0	0	0	0	0	0	106	63	0	130	544	18	18	226	376	301	183	327	227	391	261	10	4	0	0	0	0	0	0	0	0	0	39	310	66
ASV57	0	0	0	0	12	44	3475	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	0	12
ASV58	8	10	5	13	7	12	19	13	14	5	11	7	11	8	6	9	0	0	0	0	0	0	0	0	0	0	0	0	516	803	684	120	117	780	114	46	0	0	0	240	134	9
ASV59	0	0	0	0	0	0	0	18	6	0	19	12	16	0	0	0	0	15	14	0	0	27	44	16	23	16	46	0	68	262	149	286	82	95	72	170	1236	574	355	0	0	19
ASV60	0	14	3	29	15	0	11	0	0	0	0	0	0	121	256	255	203	14	17	40	70	86	286	144	134	70	384	324	7	0	0	13	8	0	7	0	0	0	0	192	632	64
ASV61	0	10	0	0	10	0	0	8	0	0	0	0	0	11	0	19	0	0	24	0	39	45	114	143	23	27	653	40	183	323	212	529	139	31	699	250	10	86	27	0	0	5
ASV62	0	0	0	0	0	0	0	0	274	433	1016	817	720	17	0	0	8	0	0	0	0	0	0	0	0	0	0	0	8	10	0	28	0	0	0	19	86	15	62	0	4	3
ASV63	0	26	0	63	87	35	2812	80	0	0	0	0	0	20	5	70	3	0	7	0	0	0	0	0	0	0	3	0	0	10	3	8	0	0	5	4	0	0	0	49	20	58
ASV64	0	0	0	0	0	0	0	0	7	17	10	7	0	0	0	0	0	0	0	0	11	16	25	27	12	23	77	34	0	23	13	0	0	16	305	51	303	322	1592	0	0	0
ASV65	0	0	0	0	7	0	0	0	0	0	0	0	0	39	261	403	577	0	0	0	0	0	408	207	0	0	401	593	17	0	0	13	13	0	0	0	0	0	0	0	152	0
ASV66	0	5	5	0	12	0	12	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	814	139	24	28	50	10	2240	293	0	0	0	0	0	5
ASV67	0	68	5	8	94	6	3	51	0	0	0	0	0	0	6	383	146	759	7	52	2	22	11	19	10	64	342	173	9	7	9	8	8	4	7	7	0	0	0	89	496	69
ASV68	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	0	0	9	11	124	472	340	687	59	99	400	1156	0	0	0	0	0	0
ASV69	0	0	0	0	0	0	0	0	9	6	24	13	20	0	6	7	10	78	31	118	58	136	80	79	101	75	342	94	30	147	86	90	18	17	166	166	174	264	428	20	6	0
ASV70	0	0	0	0	0	20	11	45	0	0	0	0	0	9	30	7	21	35	0	9	15	25	1213	268	120	37	878	61	0	0	0	0	0	0	0	0	0	0	0	8	0	11
ASV71	25	165	37	25	204	122	104	156	52	95	56	29	28	364	663	133	52	89	0	15	12	0	23	0	0	0	0	0	27	19	42	33	36	19	33	43	89	0	0	31	0	14
ASV72	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	18	123	63	65	47	179	184	201	159	175	452	511	62	0	0	0	0	0	0	0	0	0	0	0	45	60	66
ASV73	17	298	0	0	399	78	68	53	0	0	0	0	0	0	0	0	0	470	134	898	8	12	13	0	0	5	0	0	14	5	0	0	9	0	0	7	0	0	0	0	0	0
ASV74	13	11	12	24	19	13	17	0	0	0	0	0	0	10	0	10	19	0	0	0	0	0	30	38	22	0	20	21	89	246	372	1001	464	115	145	108	28	0	44	22	0	10
ASV75	12	25	221	64	0	0	9	10	0	0	0	0	0	92	41	95	202	300	15	36	84	79	87	102	35	206	151	241	15	0	0	0	0	0	0	0	0	0	0	67	205	50
ASV76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	21	38	19	0	73	67	57	15	15	75	0	308	853	878	0	0	20
ASV77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	351	514	35	144	146	431	183	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV78	0	83	0	0	59	0	0	0	584	215	401	472	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	72	230	143	45	0	0	0	33
ASV79	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	6	0	0	6	7	25	40	93	66	87	39	322	57	28	61	24	156	15	6	286	219	80	87	590	0	8	0
ASV80	0	0	0	0	6	0	0	0	283	98	372	391	211	52	0	67	89	33	17	28	13	18	18	10	9	12	15	12	57	39	8	17	14	18	184	141	15	55	0	20	43	21
ASV81	0	2	0	0	5	0	0	5	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	1515	561	284	24	3	19	97	0	0	0	0	0	0
ASV82	14	17	3	0	88	20	103	38	0	0	0	0	0	201	345	130	92	147	64	91	26	43	92	220	43	24	81	55	0	10	8	0	8	0	0	0	0	0	0	73	59	65
ASV83	0	0	0	0	7	0	0	0	0	0	0	0	0	148	0	131	16	129	13	58	97	341	114	89	49	326	190	121	0	0	0	0	0	0	0	0	0	0	0	18	132	15
ASV84	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	21	14	23	60	51	57	0	7	102	76	494	882	442	3	0	12
ASV86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	248	118	158	178	306	483	222	0	0	0	5	0	0	0	0	0	41	0	0	0	0
ASV87	0	0	0	2	6	2	0	0	0	0	0	0	0	0	0	0	4	0	6	10	2	0	0	5	0	0	7	0	14	30	47	608	1323	213	22	14	0	0	0	5	4	3
ASV89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	196	139	135	119	31	0	212	240	48	579	430	4	0	0
ASV90	6	71	0	0	74	37	23	31	120	93	145	297	135	30	25	11	12	84	30	43	16	15	13	15	16	9	31	16	29	32	25	76	50	22	85	0	122	101	98	8	6	12
ASV94	0	0	0	0	25	0	0	0	0	0	0	45	31	786	68	255	151	51	60	157	0	0	0	0	0	0	0	0	66	23	0	17	0	0	0	0	0	0	0	0	58	0
ASV95	0	0	0	0	0	0	0	0	282	83	446	787	377	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	3	0
ASV96	0	0	0	0	0	0	0	0	0	0	0	0	0	41	9	68	110	225	28	90	198	157	170	106	76	72	133	131	0	0	0	0	0	0	0	0	0	0	0	54	71	20
ASV97	0	13	0	0	1	0	0	0	0	0	0	0	0	482	355	15	683	0	0	0	0	0	0	0	0	0	0	0	2	2	5	5	2	0	0	3	3	0	0	0	0	0
ASV98	0	0	0	0	4	0	0	0	0	0	0	0	0	13	42	67	40	216	0	8	11	18	54	19	0	106	217	662	0	0	0	0	0	0	0	0	0	0	0	11	143	3
ASV99	0	8	0	0	9	0	3	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	113	23	31	10	17	1149	30	52	70	354	0	5	0
ASV100	0	0	0	0	0	0	0	0	9	1325	0	12	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV101	0	132	33	24	125	66	81	81	0	0	0	0	0	0	0	0	0	50	15	15	0	0	0	0	23	0	0	0	35	129	73	76	32	26	255	217	128	202	48	0	0	0
ASV102	32	94	13	24	77	31	67	36	72	67	41	59	34	34	30	159	55	176	61	72	16	16	9	13	23	18	31	18	8	9	26	12	7	0	0	13	23	25	0	45	61	30
ASV103	0	0	0	9	11	0	28	32	0	0	0	0	0	0	0	0	19	649	19	61	104	200	21	77	84	19	8	60	0	0	0	0	0	0	0	0	0	0	0	36	62	23
ASV104	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	10	0	7	79	119	54	60	26	101	88	159	17	74	160	95	24	12	52	59	102	231	152	0	0	0
ASV105	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	2	11	24	60	17	19	43	22	34	1118	48	21	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ASV106	0	42	0	0	443	264	154	178	0	234	0	0	27	12	0	0	0	19	0	16	25	34	0	0	18	24	27	54	0	0	0	0	0	0	18	9	17	0	0	23	20	38
ASV107	92	44	154	62	79	63	246	141	0	0	0	0	0	25	30	73	22	31	0	14	16	40	55	48	27	25	19	9	14	7	14	9	14	7	7	14	0	0	0	59	44	46
ASV108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	181	18	56	0	0	151	679	82	0	372	0	0	0
ASV109	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	122	37	276	789	389	0	0	0
ASV110	0	6	2	0	9	4	0	0	91	98	242	226	222	11	0	9	9	94	89	123	16	17	25	12	0	19	12	18	13	17	22	0	0	1	23	31	10	8	0	10	15	5
ASV111	0	0	0	0	12	51	0	16	15	25	15	138	20	0	0	0	28	120	6	40	8	24	25	20	0	27	181	22	0	0	0	0	0	0	0	0	57	685	49	43	0	0
ASV112	0	0	6	5	0	0	0	6	12	0	6	14	11	11	10	11	12	26	26	33	16	22	25	20	17	28	49	19	218	74	62	69	71	27	650	80	12	33	5	6	0	0
ASV113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	11	34	398	73	752	0	0	0
ASV114	0	0	0	0	9	17	8	20	0	0	0	0	0	0	0	0	0	0	0	0	12	12	107	38	19	0	132	0	39	147	109	125	37	20	20	103	168	278	161	0	0	0
ASV115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	22	0	15	0	0	17	799	0	156	38	36	99	0	0	263	83	0	0	0	0	0	0
ASV116	0	0	0	0	0	0	0	0	175	255	180	369	351	39	0	38	6	0	0	0	0	13	13	14	0	0	0	0	0	0	0	0	0	0	0	0	21	15	0	8	18	62
ASV117	12	30	0	0	48	44	31	49	93	94	72	67	69	27	13	182	52	88	60	77	42	29	14	17	0	17	28	24	18	13	0	4	0	0	8	10	27	37	0	27	50	33
ASV118	0	0	0	0	0	0	0	0	11	37	14	1386	89	0	0	6	10	0	0	0	5	0	0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ASV119	65	0	0	0	0	0	0	0	0	0	0	0	0	69	37	12	65	7	26	46	66	163	173	89	81	154	154	36	0	0	0	0	0	0	0	0	0	0	0	0	144	70
ASV120	0	58	0	21	260	100	42	38	0	0	0	0	0	0	0	0	0	248	186	269	17	18	20	18	0	0	0	0	0	7	0	8	17	0	0	18	0	41	40	0	0	0
ASV121	8	16	0	0	0	17	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	7	0	0	0	0	230	273	313	54	80	299	75	20	0	0	0	119	37	0
ASV122	0	0	0	0	0	0	0	0	60	47	139	390	766	2	0	25	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	5	0	20	18	8	0	12	0
ASV123	0	15	0	0	14	0	0	0	40	36	52	37	0	148	28	228	237	66	62	63	14	20	0	15	0	13	0	0	0	0	0	0	0	0	29	0	0	20	0	64	128	78
ASV124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	81	315	606	236	177	40	164	0	0	0	0	0	0
ASV125	0	0	0	0	0	0	0	0	0	0	9	10	0	12	0	15	0	0	0	29	189	140	0	86	56	45	37	110	17	0	0	18	8	0	45	77	115	172	144	22	17	18
ASV126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	126	151	90	228	127	181	233	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV127	0	0	0	0	0	0	0	0	140	38	192	253	133	7	0	14	30	0	8	9	0	0	10	0	0	0	24	22	0	44	18	62	134	90	97	117	0	0	0	12	16	13
ASV128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	93	118	0	36	147	88	113	514	163	0	0	0
ASV129	0	8	0	7	0	5	23	0	0	0	1	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	170	209	37	65	455	37	17	0	0	0	126	31	0
ASV130	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	1457	6	12	18	0	6	0	0	0	0	0	0	0	0
ASV131	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	27	98	65	136	142	119	163	136	128	127	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV132	0	11	0	0	35	22	0	0	64	199	82	34	77	104	211	13	0	0	0	0	0	0	0	18	0	33	40	49	19	0	0	20	0	0	0	0	303	0	0	0	0	0
ASV133	0	0	0	0	28	16	9	11	0	49	0	14	27	80	103	0	16	62	0	17	23	21	13	15	9	26	22	22	41	19	0	0	0	0	64	33	128	143	208	0	20	10
ASV134	5	27	116	59	71	30	199	105	0	0	0	0	0	25	26	21	21	41	6	14	0	17	0	27	10	13	10	14	44	53	41	15	33	83	14	12	0	0	0	70	52	36
ASV135	0	2	0	0	11	0	16	17	53	167	46	21	44	22	0	0	12	0	0	0	21	15	0	13	12	17	12	28	28	18	21	27	15	4	322	24	258	0	115	10	0	0
ASV136	0	21	0	0	82	17	21	0	11	21	19	9	13	39	35	68	34	95	41	62	0	21	31	14	13	11	35	17	28	39	13	26	32	0	12	49	34	170	80	0	27	19
ASV137	0	59	0	0	111	29	10	15	40	25	68	54	20	0	0	42	45	150	94	108	0	15	21	15	27	0	31	0	0	0	0	13	0	0	12	18	16	15	0	56	87	54
ASV138	11	9	58	67	42	12	96	41	0	0	0	0	0	56	34	55	26	113	25	80	32	35	42	63	57	21	35	0	0	0	11	0	12	0	0	0	0	0	0	60	37	86
ASV139	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	19	0	0	12	6	99	185	190	343	78	40	96	312	0	0	0	0	0	0
ASV140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	188	388	189	18	0	45	64	38	201	176	0	0	0
ASV141	6	818	0	0	30	4	0	0	0	0	5	0	6	18	115	13	40	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	9	0	0	10	0	0	55	0	46	0
ASV142	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	274	288	324	0	0	133	286	0	0	0	0	0	0
ASV143	0	0	0	0	7	0	0	0	17	0	15	0	14	2	0	5	7	18	7	5	0	8	2	7	0	0	7	0	26	34	29	358	190	415	27	27	0	0	0	0	0	8
ASV144	0	729	0	0	182	0	0	3	0	0	0	22	3	24	34	0	97	0	15	7	0	0	0	0	0	6	5	4	0	0	10	0	0	4	0	0	10	0	0	9	11	17
ASV145	0	0	0	0	23	0	0	0	37	272	30	32	28	7	0	0	0	0	27	29	29	28	15	0	0	31	102	56	95	38	0	0	0	0	17	91	89	0	82	0	0	17
ASV146	0	0	0	78	46	80	0	47	0	0	0	0	0	0	0	0	0	28	39	37	82	53	47	0	91	54	0	31	0	0	0	0	0	0	0	0	0	0	0	76	165	240
ASV147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880	0	0	15	29	72	31	244	0	0	0	0	0	0
ASV148	8	0	16	11	13	5	14	0	0	0	0	0	0	90	38	77	104	118	35	105	49	36	25	27	68	90	36	34	0	0	0	0	5	0	6	0	0	0	0	18	24	26
ASV149	0	0	0	0	5	6	4	3	133	122	283	342	170	0	0	8	9	19	47	28	0	0	0	0	0	0	0	0	0	3	5	0	0	5	0	0	20	0	0	0	0	5
ASV150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	30	28	0	0	26	6	66	107	299	291	90	48	115	128	0	29	40	0	0	0
ASV151	0	7	0	0	0	14	0	0	9	57	19	203	119	43	0	0	10	0	14	0	0	0	15	14	8	14	12	14	14	0	0	0	10	0	0	19	53	484	81	0	0	0
ASV152	28	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	59	21	23	12	125	194	31	0	51	0	27	143	0	0	0	0	0	0	0	0	0	0	0	9	372	24
ASV153	0	7	0	0	8	0	0	8	12	0	16	11	9	0	0	6	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0	163	838	89	0	0	16	29	0	0	0	6
