SpeciesID	Domain	Phylum	Class	Order	Family	Genus
ASV5185	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcaceae
ASV5186	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured
ASV5187	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
ASV5188	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea
ASV5189	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae
ASV5190	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	Candidatus_Moranbacteria	Candidatus_Moranbacteria
ASV5191	Bacteria	Proteobacteria	Alphaproteobacteria			
ASV5192	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	uncultured
ASV5193	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
ASV5194	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma
ASV5195	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV5196	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ASV5197	Bacteria	Chloroflexi	OLB14	OLB14	OLB14	OLB14
ASV5198	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	
ASV5199	Bacteria					
ASV5200	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	uncultured
ASV5201	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		
ASV5202	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	
ASV5203	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
ASV5204	Bacteria	Armatimonadota	uncultured	uncultured	uncultured	uncultured
ASV5205	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
ASV5206	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas
ASV5207	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Arcicella
ASV5208	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV5209	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Geothrix
ASV5210	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
ASV5211	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
ASV5212	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured
ASV5213	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ASV5214	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella
ASV5215	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV5216	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Arcicella
ASV5217	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia
ASV5218	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
ASV5219	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma
ASV5220	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
ASV5221	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
ASV5222	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	uncultured
ASV5223	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera
ASV5224	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV5225	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast
ASV5226	Bacteria					
ASV5227	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales	Kapabacteriales
ASV5228	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus
ASV5229	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
ASV5230	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV5231	Eukaryota	Apicomplexa	Conoidasida	Gregarinasina	Eugregarinorida	Eugregarinorida
ASV5232	Bacteria	Elusimicrobiota	Lineage_IIa	Lineage_IIa	Lineage_IIa	Lineage_IIa
ASV5233	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
ASV5234	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sandaracinobacter
ASV5235	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV5236	Bacteria	Chloroflexi	Ktedonobacteria	C0119	C0119	C0119
ASV5237	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41
ASV5238	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	
ASV5239	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
